code,element,hex,source
us,red,#B31942,https://commons.wikimedia.org/wiki/File:Flag_of_the_United_States.svg
us,blue,#0A3161,https://commons.wikimedia.org/wiki/File:Flag_of_the_United_States.svg
us,white,#FFFFFF,https://commons.wikimedia.org/wiki/File:Flag_of_the_United_States.svg
gb,red,#C8102E,https://en.wikipedia.org/wiki/File:Flag_of_the_United_Kingdom.svg
gb,blue,#012169,https://en.wikipedia.org/wiki/File:Flag_of_the_United_Kingdom.svg
gb,white,#FFFFFF,https://en.wikipedia.org/wiki/File:Flag_of_the_United_Kingdom.svg
fr,blue,#002654,https://en.wikipedia.org/wiki/File:Flag_of_France.svg
fr,white,#FFFFFF,https://en.wikipedia.org/wiki/File:Flag_of_France.svg
fr,red,#CE1126,https://en.wikipedia.org/wiki/File:Flag_of_France.svg
de,black,#000000,https://en.wikipedia.org/wiki/File:Flag_of_Germany.svg
de,red,#DD0000,https://en.wikipedia.org/wiki/File:Flag_of_Germany.svg
de,gold,#FFCE00,https://en.wikipedia.org/wiki/File:Flag_of_Germany.svg
jp,white,#FFFFFF,https://en.wikipedia.org/wiki/File:Flag_of_Japan.svg
jp,red,#BC002D,https://en.wikipedia.org/wiki/File:Flag_of_Japan.svg
confederacy,red,#bf0a30,https://commons.wikimedia.org/wiki/File:Battle_flag_of_the_Confederate_States_of_America_(3-5).svg
confederacy,blue,#002868,https://commons.wikimedia.org/wiki/File:Battle_flag_of_the_Confederate_States_of_America_(3-5).svg
confederacy,white,#FFFFFF,https://commons.wikimedia.org/wiki/File:Battle_flag_of_the_Confederate_States_of_America_(3-5).svg
us-ca,red,#BA0C2F,https://commons.wikimedia.org/wiki/File:Flag_of_California.svg
us-ca,brown,#5C462B,https://commons.wikimedia.org/wiki/File:Flag_of_California.svg
us-ca,green,#00843D,https://commons.wikimedia.org/wiki/File:Flag_of_California.svg
us-ca,tan,#B58150,https://commons.wikimedia.org/wiki/File:Flag_of_California.svg
